Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0018181483613120184    8451                     12.958088897954372       15.614555772013645       0.08776682323216438      0.8975384122508016       0                        0                        0.999947075              0.05                     0.11026683984528063      0.0005                   0.29442775732604787      2e-06                    0.060791015625           0.032934                 0.35535064               
200                      0.29947629551092786      850375                   10.973785815110785       17.807138290153915       0.10215011475887138      0.8931709191556532       0                        0                        0.9894228                0.05                     0.08694498647309956      0.0005                   0.2907421321142465       2e-06                    0.06103515625            0.10227708               0.2963761                
400                      0.5970364297760857       1692890                  10.021794583182313       17.538453425649003       0.10384781450382304      0.892408739766365        0                        0                        0.97889145               0.05                     0.06540832175596734      0.0005                   0.29676862247288227      2e-06                    0.11279296875            -0.102589294             0.33213842               
600                      0.8944882230626212       2534975                  13.158650444664119       11.644565377056797       0.10384781450382304      0.892408739766365        0                        0                        0.9683657375             0.05                     0.060888653235451784     0.0005                   0.29455853486433625      2e-06                    0.0693359375             0.036793124              0.2613317                
800                      1.1920715579059389       3377031                  11.273782315687683       19.816163498014607       0.10384781450382304      0.892408739766365        0                        0                        0.9578394125             0.05                     0.055387101201631594     0.0005                   0.29742470203200355      2e-06                    0.10546875               0.08326683               0.26054475               
1000                     1.4902632441785602       4219210                  11.95046579800681        17.972256788051542       0.10384781450382304      0.892408739766365        0                        0                        0.947312375              0.05                     0.04409138748451369      0.0005                   0.28718157729599625      2e-06                    0.10302734375            0.06335558               0.23345898               
1200                     1.7894385172923406       5060928                  12.249438493508737       16.495964047610855       0.10384781450382304      0.892408739766365        0                        0                        0.9367906375             0.05                     0.0924034892632335       0.0005                   0.2962654143339023       2e-06                    0.08544921875            -0.06700302              0.38730517               
1400                     2.089356750514772        5903545                  12.26435988866778        19.53079197047714        0.10384781450382304      0.892408739766365        0                        0                        0.9262582874999999       0.05                     0.04123262375833292      0.0005                   0.296846667653881        2e-06                    0.0908203125             -0.015697202             0.26105255               
1600                     2.389567319750786        6745685                  13.750326854256237       17.5368804742194         0.10384781450382304      0.892408739766365        0                        0                        0.9157313125             0.05                     0.059247444889479084     0.0005                   0.29948060103924945      2e-06                    0.04296875               0.0011481798             0.63875234               
1800                     2.6913267276684443       7589109                  14.100312883943447       18.64389057966853        0.10384781450382304      0.892408739766365        0                        0                        0.905188825              0.05                     0.04276632803521352      0.0005                   0.2994789882795885       2e-06                    0.080322265625           0.0068497774             0.32319623               
2000                     2.9930844485097463       8433697                  14.355856918504678       20.281094296009954       0.10384781450382304      0.892408739766365        0                        0                        0.8946317125000001       0.05000000000000001      0.04714660926401848      0.0005                   0.29464219143847004      2e-06                    0.078369140625           0.02504663               0.24736814               
2200                     3.294980979628033        9279175                  15.760787755027291       18.842630721882685       0.10384781450382304      0.892408739766365        0                        0                        0.88406305               0.05                     0.09803535088212811      0.0005                   0.2897723789792508       2e-06                    0.0595703125             -0.008212601             0.28760695               
2400                     3.597386944823795        10126446                 17.031698391809847       18.874824949808048       0.10384781450382304      0.892408739766365        0                        0                        0.8734728125             0.05                     0.058749498126417166     0.0005                   0.2879388752626255       2e-06                    0.0966796875             0.029806767              0.3318744                
2600                     3.900492955380016        10976042                 19.333067949068266       19.07719254775465        0.10384781450382304      0.892408739766365        0                        0                        0.8628525875             0.05                     0.0814467129202967       0.0005                   0.2830706796958111       2e-06                    0.087158203125           0.08512108               0.3537034                
2800                     4.205854598614905        11828530                 21.19109041386243        20.234664114044026       0.10384781450382304      0.892408739766365        0                        0                        0.8521975                0.05                     0.07016408978961408      0.0005                   0.2941968239028938       2e-06                    0.0732421875             0.043596666              0.31044132               
3000                     4.513539454473389        12684162                 20.13821375922037        17.366826116902985       0.10384781450382304      0.892408739766365        0                        0                        0.8415016375000001       0.05000000000000001      0.08876769851485733      0.0005                   0.2896526135155          2e-06                    0.0830078125             0.090155266              0.24985756               
3200                     4.823527097635799        13542331                 20.37124478712822        21.25310947983839        0.10384781450382304      0.892408739766365        0                        0                        0.8307750625             0.05                     0.1322688846540747       0.0005                   0.2912254501134157       2e-06                    0.07261029411764706      0.15992613               0.27447838               
3400                     5.138025036652883        14403514                 26.787517719638533       19.353904909669268       0.10384781450382304      0.892408739766365        0                        0                        0.8200107875             0.05                     0.10071699055911534      0.0005                   0.2932725434246308       2e-06                    0.09857536764705882      0.0026285814             0.29614323               
3600                     5.457777561942736        15269479                 21.950888705846886       18.75194189206756        0.10384781450382304      0.892408739766365        0                        0                        0.8091857625000001       0.05000000000000001      0.08135267783997252      0.0005                   0.29899260735906225      2e-06                    0.09260110294117646      0.0030922045             0.6464835                
3800                     5.781981722513835        16138916                 29.47491078061102        21.240780598479372       0.10384781450382304      0.892408739766365        0                        0                        0.7983173499999999       0.05                     0.11777322174748406      0.0005                   0.2822530466844054       2e-06                    0.07123161764705883      -0.3115767               0.6194406                
4000                     6.108462864425447        17010006                 22.92123149840918        20.397114159928428       0.10384781450382304      0.892408739766365        0                        0                        0.787429                 0.05000000000000001      0.09073868104571695      0.0005                   0.28459635782329473      2e-06                    0.07628676470588236      -0.12733842              0.38622782               
4200                     6.433163838585218        17881626                 22.95636114035578        17.846523736851296       0.10384781450382304      0.892408739766365        0                        0                        0.7765342875             0.05                     0.11670201456667308      0.0005                   0.28642959383261557      2e-06                    0.10523897058823528      -0.36478236              0.9282278                
4400                     6.757926926612854        18752243                 23.13600592953243        17.112878386456643       0.10384781450382304      0.892408739766365        0                        0                        0.7656512624999999       0.05                     0.061158805904115605     0.0005                   0.2961114250013933       2e-06                    0.0978860294117647       -0.010929939             0.29149905               
4600                     7.082373686167929        19621662                 21.391860619219027       27.042758170203363       0.10384781450382304      0.892408739766365        0                        0                        0.7547831                0.05                     0.0902180353022071       0.0005                   0.2834472573526642       2e-06                    0.07536764705882354      0.03288529               0.28589803               
4800                     7.40603872332308         20491786                 36.02464204754543        20.54590406953927        0.10384781450382304      0.892408739766365        0                        0                        0.7439073374999999       0.05                     0.07753897470641224      0.0005                   0.2974890001556453       2e-06                    0.05951286764705882      0.08286034               0.47932422               
5000                     7.729870237840546        21360583                 29.694417884444007       21.64077121211925        0.10384781450382304      0.892408739766365        0                        0                        0.7330466375             0.05                     0.06242853749255814      0.0005                   0.28241883015588803      2e-06                    0.050551470588235295     -0.23171283              0.4515251                
5200                     8.053481555117502        22230470                 32.64903663963473        19.686687790311076       0.10384781450382304      0.892408739766365        0                        0                        0.7221748375000001       0.05                     0.09262386609813855      0.0005                   0.2915533559725565       2e-06                    0.09443933823529413      -0.12091939              0.34864032               
5400                     8.377352839575874        23100788                 28.010538272152694       20.701630229504467       0.10384781450382304      0.892408739766365        0                        0                        0.711294775              0.05                     0.04994608334484784      0.0005                   0.2908547449418727       2e-06                    0.09558823529411764      0.020376641              0.25988066               
5600                     8.69999907427364         23970067                 21.8341754104066         21.619119317821028       0.10384781450382304      0.892408739766365        0                        0                        0.700427575              0.05                     0.05528155780484667      0.0005                   0.29662093584192917      2e-06                    0.087646484375           -0.18103774              0.6398012                
5800                     9.022041242056423        24838584                 28.57860010883416        17.881132764210097       0.10384781450382304      0.892408739766365        0                        0                        0.6895712625             0.05                     0.09278984495904297      0.0005                   0.29505107803818054      2e-06                    0.10363051470588235      0.003994467              0.22931653               
6000                     9.345252595212724        25708735                 28.876908612506824       17.285943375838283       0.10384781450382304      0.892408739766365        0                        0                        0.6786953875             0.05                     0.08042223751887351      0.0005                   0.2855979782693526       2e-06                    0.09673713235294118      0.16338328               0.18577595               
6200                     9.668347483873367        26577595                 29.71461299564449        15.912525249055513       0.10384781450382304      0.892408739766365        0                        0                        0.667834575              0.05                     0.06145916728521971      0.0005                   0.29358265411985274      2e-06                    0.05560661764705882      0.16918188               0.25045943               
6400                     9.992675386534797        27449050                 25.21628021103088        21.761004956307307       0.10384781450382304      0.892408739766365        0                        0                        0.6569408250000001       0.05                     0.06919799500268281      0.0005                   0.2839815640712485       2e-06                    0.0627297794117647       0.08545029               0.25346476               
6600                     10.316850382950571       28319163                 31.92602033716109        19.013685403853287       0.10384781450382304      0.892408739766365        0                        0                        0.6460648875             0.05                     0.03522985314553165      0.0005                   0.2891653570182183       2e-06                    0.05813419117647058      0.09097863               0.30581644               
6800                     10.641251154541969       29188416                 27.885767349821478       21.961333745796722       0.10384781450382304      0.892408739766365        0                        0                        0.6351983875             0.05                     0.10404463386112184      0.0005                   0.28192222880898044      2e-06                    0.0615234375             -0.1648501               0.5117789                
7000                     10.965066696074274       30058898                 30.05357630369466        22.550507273888865       0.10384781450382304      0.892408739766365        0                        0                        0.6243177125             0.05                     0.046775843629695696     0.0005                   0.2800604911959347       2e-06                    0.06089154411764706      0.07858688               0.2464586                
7200                     11.28963726957639        30928213                 28.259764198532366       20.803892700523022       0.10384781450382304      0.892408739766365        0                        0                        0.613451325              0.05                     0.07559887707055382      0.0005                   0.2870643093415043       2e-06                    0.06916360294117647      0.030648284              0.2901608                
7400                     11.613650089833472       31798017                 34.10898157717737        23.40785953285343        0.10384781450382304      0.892408739766365        0                        0                        0.6025797625             0.05                     0.0296741567666793       0.0005                   0.2785915016361019       2e-06                    0.07100183823529412      -0.0017834557            0.25791132               
7600                     11.937238023678463       32667148                 26.402934083819112       18.538987181040945       0.10384781450382304      0.892408739766365        0                        0                        0.591714175              0.05                     0.0567416608446365       0.0005                   0.2841245300369337       2e-06                    0.054443359375           0.079448864              0.18836783               
7800                     12.26097289317184        33536947                 29.71912773873292        20.909614646921856       0.10384781450382304      0.892408739766365        0                        0                        0.5808421625             0.05                     0.03559625449398642      0.0005                   0.29047540750573664      2e-06                    0.07421875               0.032435108              0.24511127               
8000                     12.584393698043293       34406250                 29.956857521072433       23.7176919195978         0.10384781450382304      0.892408739766365        0                        0                        0.5699762875000001       0.05                     0.036476980302455456     0.0005                   0.2938872432226644       2e-06                    0.08846507352941177      -0.1210229               0.28247315               
8200                     12.908008062707053       35275676                 32.182543438878284       18.451147650532697       0.10384781450382304      0.892408739766365        0                        0                        0.559109275              0.05                     0.06520619535620105      0.0005                   0.2826981517650625       2e-06                    0.09673713235294118      0.015890403              0.20180075               
8400                     13.231438109808497       36146297                 25.87594569184414        20.691531696026974       0.10384781450382304      0.892408739766365        0                        0                        0.548225525              0.05                     0.038902566240936076     0.0005                   0.28305109075325374      2e-06                    0.06204044117647059      0.015965255              0.19654647               
8600                     13.555522408949004       37016758                 30.06068820834663        23.18489032421948        0.10384781450382304      0.892408739766365        0                        0                        0.5373449124999999       0.05                     0.03641785332001746      0.0005                   0.2818944172057159       2e-06                    0.061810661764705885     0.049154986              0.17703824               
8800                     13.879104749162991       37886497                 27.594122374464483       19.44035271314367        0.10384781450382304      0.892408739766365        0                        0                        0.52647345               0.05                     0.03073677447323194      0.0005                   0.2816047018722576       2e-06                    0.060202205882352935     -0.0657206               0.2520394                
9000                     14.203064307967821       38756255                 27.58083739605647        24.018729435651437       0.10384781450382304      0.892408739766365        0                        0                        0.5156012375000001       0.05                     0.03665459595846615      0.0005                   0.27738228905946016      2e-06                    0.1015625                -0.0015552263            0.21786143               
9200                     14.527063806123204       39626799                 25.93499214263425        21.609762918245927       0.10384781450382304      0.892408739766365        0                        0                        0.504719075              0.05                     0.050543235719327215     0.0005                   0.29057838165146466      2e-06                    0.0703125                -0.015634963             0.1967301                
9400                     14.85151531232728        40496248                 25.89418700686786        19.381308060858565       0.10384781450382304      0.892408739766365        0                        0                        0.4938505125             0.05                     0.03465414791956872      0.0005                   0.27798613911385045      2e-06                    0.10661764705882353      0.037299827              0.24984057               
9600                     15.176298473146227       41367483                 29.125110775254107       19.276820960363004       0.10384781450382304      0.892408739766365        0                        0                        0.48296036249999996      0.05                     0.04428104101337821      0.0005                   0.3012577429523363       2e-06                    0.07352941176470587      -0.014413268             0.15220661               
9800                     15.50096063196659        42237288                 31.934040952879396       19.51328618883744        0.10384781450382304      0.892408739766365        0                        0                        0.47208914999999996      0.05                     0.027951961850596813     0.0005                   0.2765039856381276       2e-06                    0.09512867647058823      0.030749163              0.29619914               
10000                    15.825155487590365       43107884                 25.989167172485736       18.271734192176766       0.10384781450382304      0.892408739766365        0                        0                        0.461205325              0.05                     0.05454738112508922      0.0005                   0.2876372644677758       2e-06                    0.10707720588235294      -0.07669572              0.1686035                
10200                    16.14899738020367        43978024                 28.80792963657439        20.141447683402976       0.10384781450382304      0.892408739766365        0                        0                        0.45032985               0.05                     0.05500142852714121      0.0005                   0.27658147162155194      2e-06                    0.08639705882352941      -0.12338389              0.42675358               
10400                    16.47294135775831        44847762                 29.845495550601186       20.188748450223365       0.10384781450382304      0.892408739766365        0                        0                        0.439457325              0.05                     0.034163542076438555     0.0005                   0.2829503387979725       2e-06                    0.07720588235294118      -0.05568695              0.35022882               
