Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0020799190468258327    8398                     11.594849381774697       21.873595300995653       0.11733119028548476      0.8626705555194736       0                        0                        0.9999474125             0.05                     0.04689835170574952      0.0005                   0.29117196216247976      2e-06                    0.084716796875           -0.1034682               0.37696967               
200                      0.2991955867740843       850975                   12.799281319843933       18.603797116180424       0.11381115158760931      0.8864501657149346       0                        0                        0.9894157124999999       0.049999999999999996     0.051606033212010516     0.0005                   0.27816129964776337      2e-06                    0.11474609375            -0.0349211               0.39620876               
400                      0.5969417893224293       1693236                  10.978475035062473       17.856692070052606       0.11308306044598006      0.8890871575027604       0                        0                        0.9788871625             0.05                     0.045618228756211465     0.0005                   0.29272085340926424      2e-06                    0.1220703125             0.0523872                0.26368254               
600                      0.894970933066474        2535148                  11.73860677065842        18.43194412935545        0.11308306044598006      0.8890871575027604       0                        0                        0.96836365               0.05                     0.061764047874021344     0.0005                   0.2938898615539074       2e-06                    0.076416015625           0.036933757              0.39484683               
800                      1.1934036414490805       3377127                  11.424591035915846       19.343452154604073       0.11308306044598006      0.8890871575027604       0                        0                        0.9578384875             0.05                     0.055224581472430145     0.0005                   0.2885080172563903       2e-06                    0.090087890625           0.057014678              0.25091806               
1000                     1.4923143251074684       4218925                  12.241190409253816       17.872298450429938       0.11308306044598006      0.8890871575027604       0                        0                        0.94731625               0.05                     0.0316856265108072       0.0005                   0.2956005570013076       2e-06                    0.106201171875           0.11045573               0.21309358               
1200                     1.7915560583273569       5061736                  12.571482975946743       16.78100978156528        0.11308306044598006      0.8890871575027604       0                        0                        0.9367808                0.05                     0.03429356199194444      0.0005                   0.2914103011135012       2e-06                    0.1357421875             -0.09254844              0.2581874                
1400                     2.0909086573786206       5903701                  11.952666898712351       14.625942174602914       0.11308306044598006      0.8890871575027604       0                        0                        0.9262561375             0.05                     0.07424545244430192      0.0005                   0.28692732140189037      2e-06                    0.1005859375             0.044453524              0.17692408               
1600                     2.391092017756568        6746198                  12.524632056809201       16.694660339229497       0.11308306044598006      0.8890871575027604       0                        0                        0.915725225              0.05                     0.039639045537114725     0.0005                   0.2982913095038384       2e-06                    0.08544921875            0.022340143              0.23398513               
1800                     2.691190632979075        7589798                  13.094271058745463       19.474107701342014       0.11308306044598006      0.8890871575027604       0                        0                        0.9051806                0.05                     0.028868866233096924     0.0005                   0.288779845519457        2e-06                    0.091796875              0.012107202              0.24799123               
