Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0010769182443618774    8441                     12.340208725761856       27.4077306560825         0.13459342093109444      0.780120146968859        0                        0                        0.9999472375             0.05                     0.08107373997336254      0.0005                   0.2835874825832434       2e-06                    0.1103515625             -0.085981816             0.4526377                
200                      0.15183555530177223      852416                   11.821722637635654       23.876213282586733       0.11907083975571048      0.8567819470739835       0                        0                        0.9893976999999999       0.049999999999999996     0.08875570490999962      0.0005                   0.2974136331467889       2e-06                    0.150146484375           -0.060281117             0.29514366               
400                      0.30253065096007453      1696333                  11.981586428296174       24.233166858341583       0.11734584235517101      0.8625097301260276       0                        0                        0.978848675              0.05                     0.07087016011792002      0.0005                   0.2911892476840876       2e-06                    0.134033203125           0.06101789               0.3266613                
600                      0.45333009951644476      2540209                  11.537861516940172       26.14863388018837        0.11734584235517101      0.8625097301260276       0                        0                        0.9683001375             0.05                     0.08608031364201452      0.0005                   0.290886067727115        2e-06                    0.159423828125           -0.01726864              0.33179292               
800                      0.6043353505267037       3384200                  11.486879949488277       26.96557583779527        0.11734584235517101      0.8625097301260276       0                        0                        0.957750325              0.05                     0.0839244904127554       0.0005                   0.29309878061758354      2e-06                    0.0830078125             0.0322138                0.38230816               
1000                     0.7553869348102146       4228301                  11.829325508530953       21.986362042370978       0.11734584235517101      0.8625097301260276       0                        0                        0.9471989875             0.05                     0.049573266343941214     0.0005                   0.299810993776191        2e-06                    0.126708984375           -0.016789423             0.26270843               
1200                     0.9067130264970992       5072108                  12.095580269469608       25.972979369867765       0.11734584235517101      0.8625097301260276       0                        0                        0.9366511                0.05                     0.07116698917161557      0.0005                   0.291696623316966        2e-06                    0.154296875              -0.040837504             0.3640827                
1400                     1.0582518296109305       5916290                  11.532592255681092       25.971139978170914       0.11734584235517101      0.8625097301260276       0                        0                        0.926099125              0.05                     0.03404993031108461      0.0005                   0.2842203794280067       2e-06                    0.115478515625           -0.048687086             0.2606789                
1600                     1.2105247545904583       6760779                  12.430977007272414       27.288095938361494       0.11734584235517101      0.8625097301260276       0                        0                        0.9155428999999999       0.05                     0.053119414202228654     0.0005                   0.3024760101106949       2e-06                    0.125244140625           -0.19636926              0.5010124                
1800                     1.3630699824624593       7606022                  12.750993311134827       18.800273468138656       0.11734584235517101      0.8625097301260276       0                        0                        0.90497745               0.05                     0.03739247448174865      0.0005                   0.2961814855225384       2e-06                    0.102783203125           -0.034190178             0.29479748               
2000                     1.515989022453626        8451970                  13.589828185224587       22.836923161343705       0.11734584235517101      0.8625097301260276       0                        0                        0.8944036000000001       0.05000000000000001      0.05883861228903697      0.0005                   0.2822939395555295       2e-06                    0.146728515625           0.0039056384             0.22610708               
2200                     1.6690137781037224       9299367                  14.61220136268467        27.354607385793145       0.11734584235517101      0.8625097301260276       0                        0                        0.88381075               0.05                     0.0485001961569651       0.0005                   0.2955788606777787       2e-06                    0.105712890625           0.0868004                0.22138202               
2400                     1.8224930600325266       10149812                 15.93523003608906        20.40570905643962        0.11734584235517101      0.8625097301260276       0                        0                        0.8731807375             0.05                     0.04447387436084682      0.0005                   0.2896859444444999       2e-06                    0.091796875              0.054864626              0.21595395               
2600                     1.9765528107351726       11002153                 17.277972844677905       28.09553511501451        0.11734584235517101      0.8625097301260276       0                        0                        0.8625262625             0.05                     0.05814357581220975      0.0005                   0.288538642693311        2e-06                    0.151123046875           -0.18646431              0.7961512                
2800                     2.132678193913566        11857319                 21.513748214061046       27.091745388387835       0.11734584235517101      0.8625097301260276       0                        0                        0.851837575              0.05                     0.05839043674196172      0.0005                   0.3045415659161175       2e-06                    0.11925551470588236      0.0111266095             0.28648052               
3000                     2.2917531532711455       12716386                 22.603952636833785       23.032912296683648       0.11734584235517101      0.8625097301260276       0                        0                        0.8410987999999999       0.05                     0.07445959787925377      0.0005                   0.29917837843737183      2e-06                    0.10225183823529412      -0.019614873             0.34420812               
3200                     2.453572982682122        13581667                 25.997830553568143       27.030127503522518       0.11734584235517101      0.8625097301260276       0                        0                        0.830283425              0.05                     0.07165752763873623      0.0005                   0.29355604913743105      2e-06                    0.11511948529411764      -0.020396732             0.22395928               
3400                     2.6164353201786676       14452291                 27.537549159950384       26.396061396530545       0.11734584235517101      0.8625097301260276       0                        0                        0.81940115               0.05                     0.05820261865429689      0.0005                   0.29636820931645         2e-06                    0.15418198529411764      0.018689651              0.26898018               
3600                     2.780442999601364        15327987                 28.410260129718097       25.24265978914016        0.11734584235517101      0.8625097301260276       0                        0                        0.808454075              0.05                     0.0630627027610043       0.0005                   0.29409304699477024      2e-06                    0.16590073529411764      -0.17168334              0.43530312               
3800                     2.9462461454338498       16209793                 30.529604646943973       25.587581291032397       0.11734584235517101      0.8625097301260276       0                        0                        0.79743365               0.05                     0.05778400423279141      0.0005                   0.28735447669511327      2e-06                    0.12385110294117646      -0.056549672             0.33683845               
4000                     3.1137188554472393       17097026                 31.19366851097005        30.022205377853716       0.11734584235517101      0.8625097301260276       0                        0                        0.78634195               0.05                     0.07201421197832508      0.0005                   0.29709985616671686      2e-06                    0.1052389705882353       -0.085611                0.3397616                
4200                     3.28137048429913         17984887                 29.66865670379189        25.96746165919           0.11734584235517101      0.8625097301260276       0                        0                        0.775244475              0.05                     0.06400797319228707      0.0005                   0.2920358528328293       2e-06                    0.12063419117647059      -0.02913205              0.38909888               
4400                     3.448967854645517        18872065                 32.384888452015915       28.193785403534203       0.11734584235517101      0.8625097301260276       0                        0                        0.7641544625             0.05                     0.05736744366175331      0.0005                   0.2905885673073285       2e-06                    0.11626838235294118      0.12477299               0.35237148               
