Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0008001610305574205    8408                     4.854118475017996        5.180251738358144        0.09315787476429715      1.0125601233335297       0                        0                        0.9999476375             0.05                     0.5024391389742959       0.0005                   0.30422382545657456      2e-06                    0.060302734375           1.2253747                1.018702                 
200                      0.15090247260199652      852134                   8.14401156203346         10.34496868232316        0.13671387263359583      0.7851097488147625       0                        0                        0.9894011375             0.05                     0.17757247838017065      0.0005                   0.2838639906840399       2e-06                    0.074462890625           -0.055200733             0.76268905               
400                      0.30160359740257264      1695899                  8.76269215001345         11.004692724977957       0.13471791944372483      0.779242175287031        0                        0                        0.97885395               0.05                     0.16636751810438         0.0005                   0.31060985662043095      2e-06                    0.12353515625            0.03545302               0.55533874               
600                      0.4532138079404831       2539585                  9.395283069760245        11.49341153278966        0.13471791944372483      0.779242175287031        0                        0                        0.9683077250000001       0.05000000000000001      0.09955824825738091      0.0005                   0.297678527305834        2e-06                    0.172607421875           0.2495329                0.47405142               
800                      0.6046878828605016       3383572                  10.54846128677906        14.318792853779957       0.13471791944372483      0.779242175287031        0                        0                        0.9577579625             0.05                     0.1074034529592609       0.0005                   0.2964663519524038       2e-06                    0.123779296875           0.02445805               0.40284076               
1000                     0.756404893596967        4227552                  10.557033128488417       17.819706946564313       0.13471791944372483      0.779242175287031        0                        0                        0.947208175              0.05                     0.09676363716062042      0.0005                   0.3141078383778222       2e-06                    0.183349609375           0.0042188764             0.4648689                
1200                     0.9081342973311742       5071676                  10.090917299467874       15.387750572665208       0.13471791944372483      0.779242175287031        0                        0                        0.936656975              0.05                     0.13959857562440448      0.0005                   0.30932561855297536      2e-06                    0.20556640625            0.060781125              0.4779775                
1400                     1.0600772964954377       5915604                  10.577448619132102       19.415053576005715       0.13471791944372483      0.779242175287031        0                        0                        0.926107625              0.05                     0.1724148036155384       0.0005                   0.29263843136141077      2e-06                    0.182373046875           0.1528977                0.598144                 
1600                     1.21179312368234         6759973                  11.859968421082264       20.4088776798458         0.13471791944372483      0.779242175287031        0                        0                        0.9155530374999999       0.05                     0.16591372271068394      0.0005                   0.28706330026034266      2e-06                    0.231201171875           0.06734675               0.44648945               
1800                     1.3633119959963693       7604493                  12.068758749919915       18.154974848112662       0.13471791944372483      0.779242175287031        0                        0                        0.9049965875             0.05                     0.13698436731647234      0.0005                   0.30264210037421435      2e-06                    0.225830078125           -0.052549727             0.5794656                
2000                     1.5149044387870365       8450498                  12.124079356124973       19.04693768012232        0.13471791944372483      0.779242175287031        0                        0                        0.894421875              0.05                     0.1318880416729371       0.0005                   0.2942459916230291       2e-06                    0.1982421875             -0.20415683              0.5479706                
2200                     1.6669086908631854       9297938                  13.490614617708014       19.279230478293684       0.13471791944372483      0.779242175287031        0                        0                        0.88382885               0.05                     0.195304335669789        0.0005                   0.2830799801158719       2e-06                    0.1943359375             -0.22344983              1.1334705                
2400                     1.8196471781863106       10148334                 14.153128538094634       21.306887606523205       0.13471791944372483      0.779242175287031        0                        0                        0.8731992375             0.05                     0.1283963023306569       0.0005                   0.30095436848932877      2e-06                    0.208984375              0.055968225              0.42544198               
2600                     1.9731249149640402       11000453                 15.485412609947073       22.159513713574967       0.13471791944372483      0.779242175287031        0                        0                        0.862547575              0.05                     0.14478537770628463      0.0005                   0.3036908413632773       2e-06                    0.24365234375            -0.080457054             0.64153063               
